;;;;x
AFG_proletarian_dictatorship;Democratic Republic of Afghanistan;x;;
AFG_proletarian_dictatorship_ADJ;Afghani;x;;
AFG_fascist_dictatorship;Afghanistan;x;;
AFG_fascist_dictatorship_ADJ;Afghani;x;;
AGL;Angola;x;;
AGL_ADJ;Angolan;x;;
AGL_bourgeois_dictatorship;West African Federation;x;;
AGL_bourgeois_dictatorship_ADJ;West African;x;;
AGL_absolute_monarchy;Kingdom of Angola;x;;
AGL_absolute_monarchy_ADJ;Angolan;x;;
AGL_hms_government;Kingdom of Angola;x;;
AGL_hms_government_ADJ;Angolan;x;;
AGL_democracy;Republic of Angola;x;;
AGL_democracy_ADJ;Angolan;x;;
AGL_proletarian_dictatorship;People's Republic of Angola;x;;
AGL_proletarian_dictatorship_ADJ;Angolan;x;;
AGL_fascist_dictatorship;Ngola;x;;
AGL_fascist_dictatorship_ADJ;Ngolan;x;;
AJU;Ajuran Sultanate;Ajuran Sultanate;Ajuran Sultanate;;;;;;;;;;;x;,,,,,,,,,,,,,,
AJU_ADJ;Ajuran;Ajuran;Ajuran;;;;;;;;;;;x;,,,,,,,,,,,,,,
ALA;Alabama;x;;
ALA_ADJ;Alabaman;x;;
ALA_bourgeois_dictatorship;The Alabaman Conglomerate;x;;
ALA_bourgeois_dictatorship_ADJ;Alabaman;x;;
ALA_absolute_monarchy;Royal Duchy of Alabama;x;;
ALA_absolute_monarchy_ADJ;Alabaman;x;;
ALA_hms_government;Royal Duchy of Alabama;x;;
ALA_hms_government_ADJ;Alabaman;x;;
ALA_democracy;State of Alabama;x;;
ALA_democracy_ADJ;Alabaman;x;;
ALA_proletarian_dictatorship;Grand People's Democratic Free Republic of the People of Alabama;x;;
ALA_proletarian_dictatorship_ADJ;Alabaman;x;;
ALA_fascist_dictatorship;Dixie Alabama;x;;
ALA_fascist_dictatorship_ADJ;Dixie Alabaman;x;;
ALB;Albania;x;;
ALB_ADJ;Albanian;x;;
ALB_bourgeois_dictatorship;Albania;x;;
ALB_bourgeois_dictatorship_ADJ;Albanian;x;;
ALB_absolute_monarchy;Albania;x;;
ALB_absolute_monarchy_ADJ;Albanian;x;;
ALB_hms_government;Albania;x;;
ALB_hms_government_ADJ;Albanian;x;;
ALB_democracy;Albania;x;;
ALB_democracy_ADJ;Albanian;x;;
ALB_proletarian_dictatorship;Albania;x;;
ALB_proletarian_dictatorship_ADJ;Albanian;x;;
ALB_fascist_dictatorship;Albania;x;;
ALB_fascist_dictatorship_ADJ;Dixie Albanian;x;;
ALD;Algeria;x;;
ALD_ADJ;Algerian;x;;
ALD_bourgeois_dictatorship;Republic of Algeria;x;;
ALD_bourgeois_dictatorship_ADJ;Algerian;x;;
ALD_absolute_monarchy;Algerian Caliphate;x;;
ALD_absolute_monarchy_ADJ;Algerian;x;;
ALD_hms_government;Algerian Caliphate;x;;
ALD_hms_government_ADJ;Algerian;x;;
ALD_democracy;People's Democratic Republic of Algeria;x;;
ALD_democracy_ADJ;Algerian;x;;
ALD_proletarian_dictatorship;People's Democratic Republic of Algeria;x;;
ALD_proletarian_dictatorship_ADJ;Algerian;x;;
ALD_fascist_dictatorship;Aldjazair;x;;
ALD_fascist_dictatorship_ADJ;Aldjazairian;x;;
ALS;Alsace;x;;
ALS_ADJ;Alsatian;x;;
ALS_bourgeois_dictatorship;Alsace Federation;x;;
ALS_bourgeois_dictatorship_ADJ;Alsatian;x;;
ALS_absolute_monarchy;Grand Duchy of Alsace;x;;
ALS_absolute_monarchy_ADJ;Alsatian;x;;
ALS_hms_government;Duchy of Alsace;x;;
ALS_hms_government_ADJ;Alsatian;x;;
ALS_democracy;Alsatian Conglomerate;x;;
ALS_democracy_ADJ;Alsatian;x;;
ALS_proletarian_dictatorship;Alsatian People's Republic;x;;
ALS_proletarian_dictatorship_ADJ;Alsatian;x;;
ALS_fascist_dictatorship;True Alsace;x;;
ALS_fascist_dictatorship_ADJ;Alsatian;x;;
ANG;England;x;;
ANG_ADJ;English;x;;
ANG_bourgeois_dictatorship;The Commonwealth of England;x;;
ANG_bourgeois_dictatorship_ADJ;English;x;;
ANG_absolute_monarchy;Kingdom of England;x;;
ANG_absolute_monarchy_ADJ;English;x;;
ANG_hms_government;Kingdom of England;x;;
ANG_hms_government_ADJ;English;x;;
ANG_democracy;England;x;;
ANG_democracy_ADJ;English;x;;
ANG_proletarian_dictatorship;The People's Republic of Albion;x;;
ANG_proletarian_dictatorship_ADJ;English;x;;
ANG_fascist_dictatorship;Great Britannia;x;;
ANG_fascist_dictatorship_ADJ;English;x;;
ANH;Anhalt;x;;
ANH_ADJ;Anhalter;x;;
ANH_bourgeois_dictatorship;Anhalter Commonwealth;x;;
ANH_bourgeois_dictatorship_ADJ;Anhalter;x;;
ANH_absolute_monarchy;Duchy of Anhalt;x;;
ANH_absolute_monarchy_ADJ;Anhalter;x;;
ANH_hms_government;Duchy of Anhalt;x;;
ANH_hms_government_ADJ;Anhalter;x;;
ANH_democracy;Anhalt Federation;x;;
ANH_democracy_ADJ;Anhalter;x;;
ANH_proletarian_dictatorship;Anhalt Democratic Republic;x;;
ANH_proletarian_dictatorship_ADJ;Anhalter;x;;
ANH_fascist_dictatorship;Pure Anhalt;x;;
ANH_fascist_dictatorship_ADJ;Anhalter;x;;
ANS;Ansbach;x;;
ANS_ADJ;Ansbacher;x;;
ANS_bourgeois_dictatorship;Free Ansbach Commune;x;;
ANS_bourgeois_dictatorship_ADJ;Ansbacher;x;;
ANS_absolute_monarchy;Principality of Ansbach;x;;
ANS_absolute_monarchy_ADJ;Ansbacher;x;;
ANS_hms_government;Princedom of Ansbach;x;;
ANS_hms_government_ADJ;Ansbacher;x;;
ANS_democracy;Ansbach;x;;
ANS_democracy_ADJ;Ansbacher;x;;
ANS_proletarian_dictatorship;Ansbacher Republic of the Red Star;x;;
ANS_proletarian_dictatorship_ADJ;Ansbacher;x;;
ANS_fascist_dictatorship;Ansbach Reich;x;;
ANS_fascist_dictatorship_ADJ;Ansbacher;x;;
ALT;Aleut;x;;
ALT_ADJ;Aleutian;x;;
APC;Apache;x;;
APC_ADJ;Apache;x;;
APC_bourgeois_dictatorship;Upper Apache Tribe;x;;
APC_bourgeois_dictatorship_ADJ;Apache;x;;
APC_absolute_monarchy;Apache Chiefdom;x;;
APC_absolute_monarchy_ADJ;Apache;x;;
APC_hms_government;Apache Tribal Republic;x;;
APC_hms_government_ADJ;Apache;x;;
APC_democracy;Apache;x;;
APC_democracy_ADJ;Apache;x;;
APC_proletarian_dictatorship;Apache League of the Red Star;x;;
APC_proletarian_dictatorship_ADJ;Apache;x;;
APC_fascist_dictatorship;Tribe of the Apache;x;;
APC_fascist_dictatorship_ADJ;Apache;x;;
ARA;Arabia;x;;
ARA_ADJ;Arabian;x;;
ARA_bourgeois_dictatorship;Arabian People's Republic;x;;
ARA_bourgeois_dictatorship_ADJ;Arabian;x;;
ARA_absolute_monarchy;Arabian Sultanate;x;;
ARA_absolute_monarchy_ADJ;Arabian;x;;
ARA_hms_government;Free Arabian Sultanate;x;;
ARA_hms_government_ADJ;Arabian;x;;
ARA_democracy;Arab Republic;x;;
ARA_democracy_ADJ;Arabian;x;;
ARA_proletarian_dictatorship;The Red Sand Commune;x;;
ARA_proletarian_dictatorship_ADJ;Arabian;x;;
ARA_fascist_dictatorship;Arabian Co-Prosperity Federation;x;;
ARA_fascist_dictatorship_ADJ;Arabian;x;;
ARG;Argentina;x;;
ARG_ADJ;Argentina;x;;
ARG_bourgeois_dictatorship;Argentina;x;;
ARG_bourgeois_dictatorship_ADJ;Argentine;x;;
ARG_absolute_monarchy;The Silver Empire;x;;
ARG_absolute_monarchy_ADJ;Argentine;x;;
ARG_hms_government;Argentine Empire;x;;
ARG_hms_government_ADJ;Argentine;x;;
ARG_democracy;Argentine Republic;x;;
ARG_democracy_ADJ;Argentine;x;;
ARG_proletarian_dictatorship;Revolutionary Republic of Argentina;x;;
ARG_proletarian_dictatorship_ADJ;Argentine;x;;
ARG_fascist_dictatorship;National Argentine Front;x;;
ARG_proletarian_dictatorship_ADJ;Argentine;x;;
ARM;Armenia;x;;
ARM_ADJ;Armenian;x;;
ARM_bourgeois_dictatorship;Republic of Armenia;x;;
ARM_bourgeois_dictatorship_ADJ;Armenian;x;;
ARM_absolute_monarchy;The Silver Empire;x;;
ARM_absolute_monarchy_ADJ;Armenian;x;;
ARM_hms_government;Argentine Empire;x;;
ARM_hms_government_ADJ;Armenian;x;;
ARM_democracy;Republic of Armenia;x;;
ARM_democracy_ADJ;Armenian;x;;
ARM_proletarian_dictatorship;Revolutionary Republic of Armenia;x;;
ARM_proletarian_dictatorship_ADJ;Armenian;x;;
ARM_fascist_dictatorship;National Argentine Front;x;;
ARM_fascist_dictatorship_ADJ;Armenian;x;;
ASS;Assam;x;;
ASS_ADJ;Assamese;x;;
ASS_bourgeois_dictatorship;Republic of Assam;x;;
ASS_bourgeois_dictatorship_ADJ;Assamese;x;;
ASS_absolute_monarchy;The Silver Empire;x;;
ASS_absolute_monarchy_ADJ;Assamese;x;;
ASS_hms_government;Assamese Empire;x;;
ASS_hms_government_ADJ;Assamese;x;;
ASS_democracy;Assamese Confederation;x;;
ASS_democracy_ADJ;Assamese;x;;
ASS_proletarian_dictatorship;Free Assamian People's Republic;x;;
ASS_proletarian_dictatorship_ADJ;Assamese;x;;
ASS_fascist_dictatorship;Assinine League of the Assamese Peoples;x;;
ASS_fascist_dictatorship_ADJ;Assamese;x;;
BAR;Barbados;;;;;;x;;,,,,,,,,,,,,,,
BAR_ADJ;Barbadian;;;;;;x;;,,,,,,,,,,,,,,
CHI;The Republic of China;x;;
CHI_ADJ;Chinese;x;;
CHI_bourgeois_dictatorship;The Qing Empire;x;;
CHI_bourgeois_dictatorship_ADJ;Chinese;x;;
CHI_absolute_monarchy;The Qing Empire;x;;
CHI_absolute_monarchy_ADJ;Manchu;x;;
CHI_hms_government;The Qing Empire;x;;
CHI_hms_government_ADJ;Manchu;x;;
CHI_prussian_constitutionalism;The Qing Empire;x;;
CHI_prussian_constitutionalism_ADJ;Manchu;x;;
CHI_democracy;Republic of China;x;;
CHI_democracy_ADJ;Chinese;x;;
CHI_socialist_republic;The Peoples Republic of China;x;;
CHI_socialist_republic_ADJ;Chinese;x;;
CHI_proletarian_dictatorship;The Peoples Republic of China;x;;
CHI_proletarian_dictatorship_ADJ;Chinese;x;;
CHI_fascist_dictatorship;Kai-tsu P'ai;x;;
CHI_fascist_dictatorship_ADJ;Chinese;x;;
ENG;Great Britain;x;;
ENG_ADJ;British;x;;
ENG_bourgeois_dictatorship;The Noble Republic Of Britain;x;;
ENG_bourgeois_dictatorship_ADJ;British;x;;
ENG_absolute_monarchy;United Kingdom;x;;
ENG_absolute_monarchy_ADJ;British;x;;
ENG_hms_government;United Kingdom;x;;
ENG_hms_government_ADJ;British;x;;
ENG_democracy;Britain;x;;
ENG_democracy_ADJ;British;x;;
ENG_proletarian_dictatorship;The Workers Union of the Iles;x;;
ENG_proletarian_dictatorship_ADJ;British;x;;
ENG_fascist_dictatorship;Britannia;x;;
ENG_fascist_dictatorship_ADJ;British;x;;
GER_hms_government;German Empire;x;;
GER_hms_government_ADJ;German;x;;
JAP_fascist_dictatorship;Japanese Empire;x;;
JAP_hms_government;Japan;x;;
PEG;Peoples Republic of Greece;x;;
PEG_ADJ;Communist Greek;x;;
EGY_absolute_monarchy;Khedivate of Egypt;x;;
EGY_absolute_monarchy_ADJ;Egyptian;x;;
EGY_hms_government;Egypt;x;;
EGY_hms_government_ADJ;Egyptian;x;;
KON;Kongo;x;;
Kongo_ADJ;Kongolese;x;;
LOA;Loango;x;;
LOA_ADJ;Loango;x;;
MNG;Ming Empire;x;;
MNG_ADJ;Ming;x;;
MNG_democracy;Ming Republic;x;;
MNG_democracy_ADJ;Ming;x;;
MNG_proletarian_dictatorship;Ming Peoples Republic;x;;
MNG_proletarian_dictatorship_ADJ;Ming;x;;
MNG_fascist_dictatorship;Greater Ming Empire;x;;
MNG_fascist_dictatorship_ADJ;Ming;x;;
MJZ;Jianzhou;x;;
MJZ_ADJ;Jurchen;x;;
MTR;Mataram;x;;
MTR_ADJ;Mataram;x;;
MYR;Yeren;x;;
MYR_ADJ;Yeren;x;;
OIR;Oirat;x;;
OIR_ADJ;Oirat;x;;
CHG;Chagatai;x;;
CHG_ADJ;Chagatai;x;;
MCM;Micmac;x;;
MCM_ADJ;Micmac;x;;
POW;Powhatan;x;;
POW_ADJ;Powhatan;x;;
LEN;Lenape;x;;
LEN_ADJ;Lenape;x;;
QUI;Quinnipiac;x;;
QUI_ADJ;Quinnipiac;x;;
SQH;Susquehannock;x;;
SQH_ADJ;Susquehannock;x;;
NAP;Naples;x;;
NAP_ADJ;Neapolitan;x;;
RUS;Russia;x;;
RUS_ADJ;Russian;x;;
RUS_bourgeois_dictatorship;The Noble Republic Of Russia;x;;
RUS_bourgeois_dictatorship_ADJ;Russian;x;;
RUS_absolute_monarchy;Russian Empire;x;;
RUS_absolute_monarchy_ADJ;Russian;x;;
RUS_hms_government;Russian Empire;x;;
RUS_hms_government_ADJ;Russian;x;;
RUS_democracy;The Russian Federation;x;;
RUS_democracy_ADJ;Russian;x;;
RUS_proletarian_dictatorship;Union of Soviet Socialist Republics;x;;
RUS_proletarian_dictatorship_ADJ;Russian;x;;
RUS_fascist_dictatorship;The Russian Slavic Confederation;x;;
RUS_fascist_dictatorship_ADJ;Russian;x;;
SPA;Spain;x;;
SPA_ADJ;Spanish;x;;
SPA_bourgeois_dictatorship;Spain;x;;
SPA_bourgeois_dictatorship_ADJ;Spanish;x;;
SPA_absolute_monarchy;Spanish Empire;x;;
SPA_absolute_monarchy_ADJ;Spanish;x;;
SPA_hms_government;Spain;x;;
SPA_hms_government_ADJ;Spanish;x;;
SPA_democracy;Spain;x;;
SPA_democracy_ADJ;Spanish;x;;
SPA_proletarian_dictatorship;The Spanish Union;x;;
SPA_proletarian_dictatorship_ADJ;Spanish;x;;
SPA_fascist_dictatorship;The Spanish State;x;;
SPA_fascist_dictatorship_ADJ;Spanish;x;;
TUR;Turkey;x;;
TUR_ADJ;Turkish;x;;
TUR_bourgeois_dictatorship;Turkey;x;;
TUR_bourgeois_dictatorship_ADJ;Turkish;x;;
TUR_absolute_monarchy;Ottoman Empire;x;;
TUR_absolute_monarchy_ADJ;Ottoman;x;;
TUR_hms_government;Ottoman Empire;x;;
TUR_hms_government_ADJ;Ottoman;x;;
TUR_democracy;Turkey;x;;
TUR_democracy_ADJ;Turkish;x;;
TUR_proletarian_dictatorship;The Turkish Worker's Union;x;;
TUR_proletarian_dictatorship_ADJ;Turkish;x;;
TUR_fascist_dictatorship;The Ottoman Caliphate;x;;
TUR_fascist_dictatorship_ADJ;Ottoman;x;;
WLS;Wales;x;;
WLS_ADJ;Welsh;x;;
YUG;Yugoslavia;x;;
YUG_ADJ;Yugoslavian;x;;
YUG_bourgeois_dictatorship;The Noble Republic Of Yugoslavia;x;;
YUG_bourgeois_dictatorship_ADJ;Yugoslavian;x;;
YUG_absolute_monarchy;Kingdom of Yugoslavia;x;;
YUG_absolute_monarchy_ADJ;Yugoslavian;x;;
YUG_hms_government;Kingdom of Yugoslavia;x;;
YUG_hms_government_ADJ;Yugoslavian;x;;
YUG_democracy;The Yugoslav Republic;x;;
YUG_democracy_ADJ;Yugoslavian;x;;
YUG_proletarian_dictatorship;Yugoslavia;x;;
YUG_proletarian_dictatorship_ADJ;Yugoslavian;x;;
YUG_fascist_dictatorship;The Empire Of Yugoslavia;x;;
YUG_fascist_dictatorship_ADJ;Yugoslavian;x;;
NRI;Northern Ireland;x;;
NRI_ADJ;Northern Irish;x;;
welsh;Welsh;x;;
english;English;x;;
scottish;Scottish;x;;
BRI;The British Federation;x;;
BRI_ADJ;British;x;;
BRC;The British Commonwealth;x;;
BRC_ADJ;British;x;;
BRZ_absolute_monarchy;The Empire of Brazil;x;;
BRZ_absolute_monarchy_ADJ;Brazilian;
BRZ_prussian_constitutionalism;The Empire of Brazil;x;;
BRZ_prussian_constitutionalism_ADJ;Brazilian;
BRZ_hms_government;The Empire of Brazil;x;;
BRZ_hms_government_ADJ;Brazilian;
SYR;Syria;x;;
SYR_ADJ;Syrian;x;;
CIS;Cisalpine;x;;
CIS_ADJ;Cisalpine;x;;
CIS_democracy;Cisalpine Republic;x;;
CIS_democracy_ADJ;Cisalpine;x;;
CIS_presidential_dictatorship;Cisalpine Republic;x;;
CIS_presidential_dictatorship_ADJ;Cisalpine;x;;
CIS_absolute_monarchy;Kingdom of Cisalpine;x;;
CIS_absolute_monarchy_ADJ;Cisalpine;x;;
CIS_prussian_constitutionalism;Kingdom of Cisalpine;x;;
CIS_prussian_constitutionalism_ADJ;Cisalpine;x;;
KNI;Kingdom of Northern Italy;x;;
KNI_ADJ;North Italian;x;;
KNI_bourgeois_dictatorship;People's Republic of Northern Italy;x;;
KNI_bourgeois_dictatorship_ADJ;North Italian;x;;
KNI_absolute_monarchy;Kingdom of Northern Italy;x;;
KNI_absolute_monarchy_ADJ;North Italian;x;;
KNI_hms_government;Kingdom of Northern Italy;x;;
KNI_hms_government_ADJ;North Italian;x;;
KNI_democracy;Republic of Northern Italy;x;;
KNI_democracy_ADJ;North Italian;x;;
KNI_proletarian_dictatorship;Socialist Republic of Northern Italy;x;;
KNI_proletarian_dictatorship_ADJ;North Italian;x;;
KNI_fascist_dictatorship;North Italian Empire;x;;
KNI_fascist_dictatorship;North Italian;x;;
SWI_presidential_dictatorship;Helvetic Republic;x;;
SWI_presidential_dictatorship_ADJ;Swiss;x;;
KRB;Kiribati;x;;
KRB_ADJ;Kiribati;x;
LEB;Lebanon;x;;
LEB_ADJ;Lebanese;x;;
JOR;Jordan;x;;
JOR_ADJ;Jordanese;x;;
LYB;Libya;x;;
LYB_ADJ;Libyan;x;;
EUR;The European Union;x;;
EUR_ADJ;European;x;;
EUR_theocratic_dictatorship;The Holy European Empire;x;;
EUR_fascist_dictatorship;The European Confederation;x;;
EUR_proletarian_dictatorship;The European Communion;x;;
EUR_absolute_monarchy;The Empire of Europa;x;;
EUR_hms_government;Kingdom of Europa;x;;
EUR_presidential_dictatorship;The Republic of Europe;x;;
PAL;Palestine;x;;
PAL_ADJ;Palestinian;x;;
MUG_absolute_monarchy;The Mughal Empire;x;;
MRI;Marshall Islands;x;;
MRI_ADJ;Marshall Islanders;x;;
ARP;Arapaho;x;;
ARP_ADJ;Arapaho;x;;
ASH;Ashanti;x;;
ASH_ADJ;Ashanti;x;;
DAH;Dahomey;x;;
DAH_ADJ;Dahomey;x;;
FAN;Fante Confederacy;Fante Confederacy;Fante Confederacy;;;;;;;;;;;x;,,,,,,,,,,,,,,
FAN_ADJ;Fante;Fante;Fante;;;;;;;;;;;x;,,,,,,,,,,,,,,
GBU;Gabu;x;;
GBU_ADJ;Gabu;x;;
OYO;Oyo;x;;
OYO_ADJ;Oyo;x;;
WRI;Warri;x;;
WRI_ADJ;Warri;x;;
IRO;The Iroquois Confederacy;x;;
IRO_ADJ;Iroquois;x;;
MAR;Mars;x;;
MAR_ADJ;Martian;x;;
MOO;Lunar Colonies;x;;
MOO_ADJ;Lunar;x;;
AMD;Android Collective;x;;
AMD_ADJ;Android;x;;
ONT;Ontario;x;;
ONT_ADJ;Ontarian;x;;
KOS;Kosovo;x;;
KOS_ADJ;Kosovar;x;;
MAC;Macedonia;x;;
MAC_ADJ;Macedonian;x;;
GER_fascist_dictatorship;German Reich;x;;
CHI_proletarian_dictatorship;The Peoples Republic of China;x;;
RUS_democracy;The Russian Federation;x;;
DAI_proletarian_dictatorship;Vietnam;x;;
DAI_socialist_republic;Vietnam;x;;
DAI_democracy;Vietnam;x;;
SVI;South Vietnam;x;;
SVI_ADJ;South Vietnamese;x;;
SVI_presidential_dictatorship;South Vietnam;x;;
SVI_presidential_dictatorship_ADJ;South Vietnam;x;;
SVI_democracy;South Vietnam;x;;
SVI_democracy_ADJ;South Vietnam;x;;
ABU_hms_government;The United Arab Emirates;x;;
BNT;Banten;x;;
BNT_ADJ;Sunda;x;;
SAU;Saudi Arabia;x;;
SAU_ADJ;Saudi Arabian;x;;
SUD;Sudan;x;;
SUD_ADJ;Sudanese;x;;
DDR;East Germany;x;;
DDR_ADJ;East German;x;;
ERI;Eritrea;x;;
ERI_ADJ;Eritrean;x;;
PAK;Pakistan;x;;
PAK_ADJ;Pakistani;x;;
CZR;The Czech Republic;x;;
CZR_ADJ;Czech;x;;
SOM;Somalia;x;;
SOM_ADJ;Somali;x;;
DJI;Djibouti;x;;
DJI_ADJ;Djiboutian;x;;
SSD;South Sudan;x;;
SSD_ADJ;South Sudanese;x;;
IDO;Indonesia;x;;
IDO_ADJ;Indonesian;x;;
BNJ;Banjarmasin;x;;
BNJ_ADJ;Banjarmasin;x;;
KTA;Kutai;x;;
KTA_ADJ;Kutai;x;;
PTK;Pontianak;x;;
PTK_ADJ;Pontianak;x;;
SLW;Bone;x;;
SLW_ADJ;Bone;x;;
SLW_presidential_dictatorship;Sulawesi;x;;
SLW_presidential_dictatorship_ADJ;Sulawesi;x;;
MAL;Malaysia;x;;
MAL_ADJ;Malaysian;x;;
MLK;Maluku;x;;
MLK_ADJ;Maluku;x;;
MLK_absolute_monarchy;Tidore;x;;
MLK_absolute_monarchy_ADJ;Maluku;x;;
MLK_democracy;Republic of Maluku;x;;
MLK_democracy_ADJ;Maluku;x;;
NKA;North Korea;x;;
NKA_ADJ;North Korean;x;;
SKA;South Korea;x;;
SKA_ADJ;South Korean;x;;
SXI_presidential_dictatorship;Provisional Government of China;Provisional Government of China;Provisional Government of China;;Provisional Government of China;;;;;;;;;x
SXI_presidential_dictatorship_ADJ;Chinese;Chinese;Chinese;;Chinese;;;;;;;;;x
SXI_fascist_dictatorship;Provisional Government of China;Provisional Government of China;Provisional Government of China;;Provisional Government of China;;;;;;;;;x
SXI_fascist_dictatorship_ADJ;Chinese;Chinese;Chinese;;Chinese;;;;;;;;;x
BGL;Bangladesh;x;;
BGL_ADJ;Bangladeshi;x;;
THA;Thailand;x;;
THA_ADJ;Thai;x;;
KAZ;Kazakhstan;x;;
KAZ_ADJ;Kazakh;x;;
TRM;Turkmenistan;x;;
TRM_ADJ;Turkmeni;x;;
UZB;Uzbekistan;x;;
UZB_ADJ;Uzbek;x;;
KYR;Kyrgyzstan;x;;
KYR_ADJ;Kyrgyzstani;x;;
TAJ;Tajikistan;x;;
TAJ_ADJ;Tajik;x;;
LAO;Laos;x;;
LAO_ADJ;Laotian;x;;
SNG;Singapore;x;;
SNG_ADJ;Singaporian;x;;
CHD;Chad;x;;
CHD_ADJ;Chadian;x;;
NGR;Niger;x;;
NGR_ADJ;Nigerian;x;;
AGL;Angola;x;;
AGL_ADJ;Angolan;x;;
MLI;Mali;x;;
MLI_ADJ;Malian;x;;
MAU;Mauritania;x;;
MAU_ADJ;Mauritanian;x;;
NGA;Nigeria;x;;
NGA_ADJ;Nigerian;x;;
TZN;Tanzania;x;;
TZN_ADJ;Tanzania;x;;
NMB;Namibia;x;;
NMB_ADJ;Namibian;x;;
SNL;Senegal;x;;
SNL_ADJ;Senegalian;x;;
BTS;Botswana;x;;
BTS_ADJ;Botswanan;x;;
CAR;Central Africa;x;;
CAR_ADJ;Central African;x;;
MOZ;Mozambique;x;;
MOZ_ADJ;Mozambiquan;x;;
CMR;Cameroon;x;;
CMR_ADJ;Cameroonian;x;;
KNA;Kenya;x;;
KNA_ADJ;Kenyan;x;;
ROC;Congo;x;;
ROC_ADJ;Congolese;x;;
ZIM;Zimbabwe;x;;
ZIM_ADJ;Zimbabwean;x;;
ZAM;Zambia;x;;
ZAM_ADJ;Zambian;x;;
UGA;Uganda;x;;
UGA_ADJ;Uganda;x;;
MWI;Malawi;x;;
MWI_ADJ;Malawian;x;;
RWA;Rwanda;x;;
RWA_ADJ;Rwandan;x;;
CTD;Ivory Coast;x;;
CTD_ADJ;Ivorian;x;;
GAB;Gabon;x;;
GAB_ADJ;Gabonese;x;;
EQG;Equatorial Guinea;x;;
EQG_ADJ;Equatorial Guinean;x;;
ESX;Essex;x;;
ESX_ADJ;Essex;x;;
MYA;The Mayan Empire;x;;
MYA_ADJ;Mayan;x;;
NCN;Republic of China;x;;
NCN_ADJ;Nationalist Chinese;x;;
MNJ;Mengjiang;x;;
MNJ_ADJ;Mengjiang;x;;
PER_theocratic_dictatorship;Islamic Republic of Iran;x;;
USA_conrepublican;Republican Party;x;;
USA_libdemocrat;Democratic Party;x;;
JAM;Jamaica;x;;
JAM_ADJ;Jamaican;x;;
PUE;Puerto Rico;x;;
PUE_ADJ;Puerto Rican;x;;
CLB;Calabar;x;;
CLB_ADJ;Calabar;x;;
GAM;Gambia;x;;
GAM_ADJ;Gambia;x;;
GUB;Guinea-Bissau;x;;
GUB_ADJ;Guinea-Bissauan;x;;
BEN;Benin;x;;
BEN_ADJ;Beninese;x;;
SRL;Sierra Leone;x;;
SRL_ADJ;Sierra Leonese;x;;
TOG;Togo;x;;
TOG_ADJ;Togonese;x;;
GHA;Ghana;x;;
GHA_ADJ;Ghanan;x;;
FAT;Burkina Faso;x;;
FAT_ADJ;Burkina Fasoan;x;;
GUI;Guinea;x;;
GUI_ADJ;Guinean;x;;
LES;Lesotho;x;;
LES_ADJ;Lesothonian;x;;
SWZ;Swaziland;x;;
SWZ_ADJ;Swazilander;x;;
COM;Comoros;x;;
COM_ADJ;Comorosan;x;;
STP;Sao Tome & Principe;x;;
STP_ADJ;Sao Tome-Pricipean;x;;
BRD;Burundi;x;;
BRD_ADJ;Burundian;x;;
QAT;Qatar;x;;
QAT_ADJ;Qatari;x;;
BAH;Bahrain;x;;
BAH_ADJ;Bahraini;x;;
KUW;Kuwait;x;;
KUW_ADJ;Kuwaiti;x;;
ETM;East Timor;x;;
