absolute_monarchy;Absolute Monarchy;Monarchie absolue;Absolute Monarchie;;Monarquía absoluta;;;;;;;;;x;;;;,,,,,
absolute_monarchy_ruler;King;Roi;König;;Rey;;;;;;;;;x;;;;,,,,,
anarcho_liberal;Anarcho-Liberal;Libéral anarchiste;Anarcho-Liberal;;Anarcoliberal;;;;;;;;;x;;;;,,,,,
napoleonic_empire;Napoleonic Absolutism;;;;;;;;;;;;;x,,,,,
presidential_dictatorship;Presidential Dictatorship;Dictature présidentielle;Präsidiale Diktatur;;Dictadura presidencialista;;;;;;;;;x;;;;,,,,,
presidential_dictatorship_ruler;President;Président;Präsident;;Presidente;;;;;;;;;x;;;;,,,,,
proletarian_dictatorship;Communist Dictatorship;Dictature Communiste;Kommunistische Diktatur;;Dictadura Comunista;;;;;;;;;x;;;;,,,,,
proletarian_dictatorship_ruler;Chairman;Président;Vorsitzender;;Presidente del consejo;;;;;;;;;x;;;;,,,,,
prussian_constitutionalism;Prussian Constitutionalism;Constitutionalisme prusse;Konstitutionelle Monarchie;;Constitucionalismo prusiano;;;;;;;;;x;;;;,,,,,
prussian_constitutionalism_ruler;King;Roi;König;;Rey;;;;;;;;;x;;;;,,,,,
reactionary;Reactionary;Réactionnaires;Reaktionär;;Reaccionaria;;;;;;;;;x;;;;,,,,,
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;Los reaccionarios siempre tratan de evitar las reformas, tanto políticas como sociales.;;;;;;;;;x;,,,
revolutionary_republic;Revolutionary Republic;;;;;;;;;;;;;x,,,,,
socialist;Socialist;Socialiste;Sozialistisch;;Socialista;;;;;;;;;x;;;;,,,,,
socialist_republic;Socialist Republic;;;;;;x;;,,,,,
socialist_republic_ruler;Chairman;;;;;;x;;,,,,,
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;Los socialistas abogan por promulgar más reformas sociales, pero pueden apoyar reformas políticas en condiciones de elevada militancia.;;;;;;;;;x;,,,
theocracy;Theocracy;;;;;;;;;;;;;x,,,,,
theocratic_dictatorship;Theocratic Dictatorship;x;;;;;;;;;,,,,,
theocratic_dictatorship_ruler;Your holiness;x;;;;;;;;;,,,,,
